site_id,group,mae,rmse,nmae,nrmse,normalization_capacity,shape,stage,seed
1,fusion_aligned,0.0549415089,0.1063166931,0.0549415089,0.1063166931,1.0000000000,"[2545, 24]",4A,2022
2,fusion_aligned,0.0467644408,0.0945025012,0.0467644408,0.0945025012,1.0000000000,"[2545, 24]",4A,2022
3,fusion_aligned,0.0478918292,0.1000233442,0.0478918292,0.1000233442,1.0000000000,"[2545, 24]",4A,2022
4,fusion_aligned,0.0512710027,0.1004674584,0.0512710027,0.1004674584,1.0000000000,"[2545, 24]",4A,2022
5,fusion_aligned,0.0497729033,0.1021755487,0.0497729033,0.1021755487,1.0000000000,"[2545, 24]",4A,2022
6,fusion_aligned,0.0576644018,0.1167465523,0.0576644018,0.1167465523,1.0000000000,"[2545, 24]",4A,2022
7,fusion_aligned,0.0591505729,0.1118681207,0.0591505729,0.1118681207,1.0000000000,"[2545, 24]",4A,2022
8,fusion_aligned,0.0449683517,0.0867363065,0.0449683517,0.0867363065,1.0000000000,"[2545, 24]",4A,2022
9,fusion_aligned,0.0505906977,0.1004506052,0.0505906977,0.1004506052,1.0000000000,"[2545, 24]",4A,2022
0,fusion_shuffled,0.0782078803,0.1674403250,0.0782078803,0.1674403250,1.0000000000,"[2545, 24]",4A,2022
1,fusion_shuffled,0.0874877200,0.1940914243,0.0874877200,0.1940914243,1.0000000000,"[2545, 24]",4A,2022
2,fusion_shuffled,0.0844943970,0.1865265220,0.0844943970,0.1865265220,1.0000000000,"[2545, 24]",4A,2022
3,fusion_shuffled,0.0852999091,0.1799110770,0.0852999091,0.1799110770,1.0000000000,"[2545, 24]",4A,2022
4,fusion_shuffled,0.0924640000,0.2203000933,0.0924640000,0.2203000933,1.0000000000,"[2545, 24]",4A,2022
5,fusion_shuffled,0.0864696875,0.1935856789,0.0864696875,0.1935856789,1.0000000000,"[2545, 24]",4A,2022
6,fusion_shuffled,0.0932407007,0.2092148215,0.0932407007,0.2092148215,1.0000000000,"[2545, 24]",4A,2022
7,fusion_shuffled,0.0949871615,0.2045019120,0.0949871615,0.2045019120,1.0000000000,"[2545, 24]",4A,2022
8,fusion_shuffled,0.0770843774,0.1634769887,0.0770843774,0.1634769887,1.0000000000,"[2545, 24]",4A,2022
9,fusion_shuffled,0.0890043899,0.2059851289,0.0890043899,0.2059851289,1.0000000000,"[2545, 24]",4A,2022
0,chronos2_baseline,0.0563864820,0.1146576628,0.0563864820,0.1146576628,1.0000000000,"[2545, 24]",4A,2023
