alpha,validation_mae,validation_rmse,status
0.0,0.3021429479122162,0.3658713698387146,ok
0.0001,0.30209311842918396,0.3658093214035034,ok
0.001,0.3019963800907135,0.36566299200057983,ok
0.01,0.3011811673641205,0.3644275367259979,ok
0.1,0.29765185713768005,0.35793542861938477,ok
1.0,0.2971593737602234,0.3500458896160126,ok
10.0,0.2980821430683136,0.34675726294517517,ok
100.0,0.2969447672367096,0.3428810238838196,ok
1000.0,0.2940044105052948,0.3383410573005676,ok
