,temperature_2m,dew_point_2m,surface_pressure,shortwave_radiation,cloud_cover,wind_speed_10m,precipitation,relative_humidity_2m
2019-01-01 00:00:00,-8.657623,-13.26297,103119.16,12.426666,0.0026855469,1.3669971,0.0,69.31724
2019-01-01 01:00:00,-7.9804688,-13.675812,103172.234,130.77333,0.03805542,1.4549174,0.0,63.589417
2019-01-01 02:00:00,-1.2326355,-12.60849,103142.58,282.4889,0.43493652,1.3707557,0.0,41.68548
2019-01-01 03:00:00,-0.97424316,-12.832489,103099.91,413.6889,0.0,1.6971338,0.0,40.170578
2019-01-01 04:00:00,-0.8346863,-13.422363,103008.08,489.5289,0.14117432,1.9426086,0.0,37.90599
2019-01-01 05:00:00,1.5366516,-16.308807,102943.766,495.43112,0.74487305,2.1263616,0.0,25.176912
2019-01-01 06:00:00,1.5431824,-16.47293,102868.7,437.72446,0.86505127,2.1767254,0.0,24.822945
2019-01-01 07:00:00,1.4966431,-16.547577,102906.17,315.28888,0.8489075,1.8952278,0.0,24.751108
2019-01-01 08:00:00,-0.16195679,-15.9982605,102881.875,195.75111,0.57592773,1.1317265,0.0,29.205292
2019-01-01 09:00:00,0.8145447,-16.963226,102922.234,55.804443,0.42001343,1.7820959,0.0,25.106253
2019-01-01 10:00:00,-2.547821,-14.94046,102936.0,0.017777778,0.6154785,1.3119738,0.0,37.976265
2019-01-01 11:00:00,-2.9394836,-15.12619,102933.195,0.0,0.48129272,0.25172862,0.0,38.502552
2019-01-01 12:00:00,-3.1748352,-15.122833,102956.42,0.0,0.28085327,0.027923042,0.0,39.193745
2019-01-01 13:00:00,-3.4894714,-15.064728,102956.984,0.0,0.090423584,0.37113872,0.0,40.317257
2019-01-01 14:00:00,-5.675812,-14.303955,102914.164,0.0,0.029266357,0.5178149,0.0,50.607677
2019-01-01 15:00:00,-7.33786,-14.306915,102968.75,0.0,0.0,0.6861316,0.0,57.46556
2019-01-01 16:00:00,-7.50589,-13.909454,102990.57,0.0,0.0,0.6787716,0.0,60.138916
2019-01-01 17:00:00,-7.93396,-13.9039,103007.79,0.0,0.0,0.5362216,0.0,62.192944
2019-01-01 18:00:00,-7.910858,-13.594025,102993.88,0.0,0.0,0.6334606,0.0,63.669724
2019-01-01 19:00:00,-8.101715,-13.59964,102985.445,0.0,0.0,1.0781312,0.0,64.590004
2019-01-01 20:00:00,-9.080658,-13.554047,102919.41,0.0,0.0,1.3825871,0.0,69.972374
2019-01-01 21:00:00,-9.1987,-13.467804,102851.16,0.0,0.0,1.5026512,0.0,71.11959
2019-01-01 22:00:00,-9.200043,-13.219055,102854.7,0.0,0.0,1.6672553,0.0,72.57879
2019-01-01 23:00:00,-9.197296,-13.1362,102837.38,0.0,0.0,1.527152,0.0,73.05246
2019-01-02 00:00:00,-8.888763,-13.198029,102860.41,12.195556,0.0,1.3487372,0.0,70.952705
2019-01-02 01:00:00,-7.6194763,-13.394623,102901.58,129.51111,0.0,1.3867284,0.0,63.267136
2019-01-02 02:00:00,0.33346558,-13.365143,102878.53,284.81778,0.0,0.8429332,0.0,34.981342
2019-01-02 03:00:00,0.58322144,-13.639374,102843.55,412.0,0.0,1.1397942,0.0,33.597572
2019-01-02 04:00:00,0.7935486,-13.639557,102704.0,488.42667,0.0,1.2637056,0.0,33.091026
2019-01-02 05:00:00,3.522583,-14.969513,102624.11,504.87112,0.0,1.062567,0.0,24.428457
2019-01-02 06:00:00,3.6644592,-14.954681,102543.3,459.18222,0.0,0.79405624,0.0,24.215004
2019-01-02 07:00:00,3.6035461,-15.062592,102553.375,356.83554,0.0,0.73358727,0.0,24.103819
2019-01-02 08:00:00,2.4042969,-16.59433,102533.78,212.19556,0.0,0.7768073,0.0,23.107128
2019-01-02 09:00:00,4.5829163,-16.980621,102538.25,60.657776,0.0,1.1459844,0.0,19.18534
2019-01-02 10:00:00,-1.2920532,-13.621918,102543.875,0.035555556,0.0,1.4521892,0.0,38.565453
2019-01-02 11:00:00,-3.2256775,-13.081512,102549.03,0.0,0.0,1.9506865,0.0,46.48889
2019-01-02 12:00:00,-3.460205,-12.664215,102575.805,0.0,0.0,1.9522614,0.0,48.933685
2019-01-02 13:00:00,-3.6758118,-12.464874,102614.16,0.0,0.0,1.7333156,0.0,50.534855
2019-01-02 14:00:00,-4.776581,-12.060638,102604.25,0.0,0.0,1.5238879,0.0,56.70812
2019-01-02 15:00:00,-5.8930664,-11.921143,102605.7,0.0,0.0,1.6370162,0.0,62.41504
2019-01-02 16:00:00,-6.186981,-12.0295105,102588.17,0.0,0.0,1.6258757,0.0,63.27785
2019-01-02 17:00:00,-6.7676697,-11.926575,102598.11,0.0,0.0,1.6968052,0.0,66.70441
2019-01-02 18:00:00,-6.849457,-12.087097,102595.125,0.0,0.0,1.8215404,0.0,66.26516
