site_id,group,mae,rmse,nmae,nrmse,normalization_capacity,shape
0,baseline,0.05638648197054863,0.11465766280889511,0.05638648197054863,0.11465766280889511,1.0,"[2545, 24]"
0,ts_aligned,0.060083840042352676,0.11968564242124557,0.060083840042352676,0.11968564242124557,1.0,"[2545, 24]"
0,ts_shuffled,0.06008834391832352,0.11976014077663422,0.06008834391832352,0.11976014077663422,1.0,"[2545, 24]"
1,baseline,0.06957545876502991,0.15181587636470795,0.06957545876502991,0.15181587636470795,1.0,"[2545, 24]"
1,ts_aligned,0.07417593151330948,0.16713795065879822,0.07417593151330948,0.16713795065879822,1.0,"[2545, 24]"
1,ts_shuffled,0.07419484108686447,0.16734886169433594,0.07419484108686447,0.16734886169433594,1.0,"[2545, 24]"
2,baseline,0.06426724791526794,0.1453535109758377,0.06426724791526794,0.1453535109758377,1.0,"[2545, 24]"
2,ts_aligned,0.06807396560907364,0.15806590020656586,0.06807396560907364,0.15806590020656586,1.0,"[2545, 24]"
2,ts_shuffled,0.06806312501430511,0.15851710736751556,0.06806312501430511,0.15851710736751556,1.0,"[2545, 24]"
3,baseline,0.0655679702758789,0.1446676403284073,0.0655679702758789,0.1446676403284073,1.0,"[2545, 24]"
3,ts_aligned,0.07014868408441544,0.1563882976770401,0.07014868408441544,0.1563882976770401,1.0,"[2545, 24]"
3,ts_shuffled,0.0701332539319992,0.15628761053085327,0.0701332539319992,0.15628761053085327,1.0,"[2545, 24]"
4,baseline,0.06818900257349014,0.13186746835708618,0.06818900257349014,0.13186746835708618,1.0,"[2545, 24]"
4,ts_aligned,0.07219021022319794,0.13765308260917664,0.07219021022319794,0.13765308260917664,1.0,"[2545, 24]"
4,ts_shuffled,0.07216978818178177,0.13762065768241882,0.07216978818178177,0.13762065768241882,1.0,"[2545, 24]"
5,baseline,0.06514587253332138,0.14183157682418823,0.06514587253332138,0.14183157682418823,1.0,"[2545, 24]"
5,ts_aligned,0.0701708272099495,0.1552351713180542,0.0701708272099495,0.1552351713180542,1.0,"[2545, 24]"
5,ts_shuffled,0.07020804286003113,0.1555396467447281,0.07020804286003113,0.1555396467447281,1.0,"[2545, 24]"
6,baseline,0.07378639280796051,0.148562490940094,0.07378639280796051,0.148562490940094,1.0,"[2545, 24]"
6,ts_aligned,0.07795966416597366,0.15709713101387024,0.07795966416597366,0.15709713101387024,1.0,"[2545, 24]"
6,ts_shuffled,0.07791518419981003,0.15684092044830322,0.07791518419981003,0.15684092044830322,1.0,"[2545, 24]"
7,baseline,0.07219249755144119,0.13808272778987885,0.07219249755144119,0.13808272778987885,1.0,"[2545, 24]"
7,ts_aligned,0.07730592787265778,0.14494752883911133,0.07730592787265778,0.14494752883911133,1.0,"[2545, 24]"
7,ts_shuffled,0.07732589542865753,0.14499633014202118,0.07732589542865753,0.14499633014202118,1.0,"[2545, 24]"
8,baseline,0.057677824050188065,0.11224392056465149,0.057677824050188065,0.11224392056465149,1.0,"[2545, 24]"
8,ts_aligned,0.06254787743091583,0.11897021532058716,0.06254787743091583,0.11897021532058716,1.0,"[2545, 24]"
8,ts_shuffled,0.06256753951311111,0.11899013817310333,0.06256753951311111,0.11899013817310333,1.0,"[2545, 24]"
9,baseline,0.06846887618303299,0.13497692346572876,0.06846887618303299,0.13497692346572876,1.0,"[2545, 24]"
9,ts_aligned,0.07252813875675201,0.14231352508068085,0.07252813875675201,0.14231352508068085,1.0,"[2545, 24]"
9,ts_shuffled,0.07252392172813416,0.1424158364534378,0.07252392172813416,0.1424158364534378,1.0,"[2545, 24]"
