window_id,t_origin,aligned_mae,shuffled_mae,raw24_mae,zero_mae
w3702,2014-03-23 22:00:00,0.1866554319858551,0.1699504256248474,0.14852748811244965,0.1691749393939972
w3703,2014-03-23 23:00:00,0.18339143693447113,0.1695980280637741,0.14050769805908203,0.1706267148256302
w3704,2014-03-24 00:00:00,0.197127565741539,0.1723598837852478,0.12736788392066956,0.17067664861679077
w3705,2014-03-24 01:00:00,0.18325424194335938,0.16980600357055664,0.12115299701690674,0.16912716627120972
w3706,2014-03-24 02:00:00,0.16721861064434052,0.167658731341362,0.1239938735961914,0.1673675924539566
w3707,2014-03-24 03:00:00,0.15200181305408478,0.16582170128822327,0.12355799227952957,0.16588371992111206
w3708,2014-03-24 04:00:00,0.16539642214775085,0.16399157047271729,0.13196048140525818,0.1644386202096939
w3709,2014-03-24 05:00:00,0.17097517848014832,0.16359677910804749,0.13497573137283325,0.16343823075294495
w3710,2014-03-24 06:00:00,0.15166409313678741,0.16283978521823883,0.1422470510005951,0.16370980441570282
w3711,2014-03-24 07:00:00,0.16972821950912476,0.16406673192977905,0.14322175085544586,0.16372579336166382
w3712,2014-03-24 08:00:00,0.19521726667881012,0.1700456738471985,0.14231620728969574,0.1637057512998581
w3713,2014-03-24 09:00:00,0.18896636366844177,0.16359536349773407,0.14121797680854797,0.16370461881160736
w3714,2014-03-24 10:00:00,0.16242796182632446,0.16398775577545166,0.14127576351165771,0.16370180249214172
w3715,2014-03-24 11:00:00,0.17357659339904785,0.1629692167043686,0.14164595305919647,0.16369588673114777
w3716,2014-03-24 12:00:00,0.17698033154010773,0.1714337170124054,0.14146816730499268,0.163685142993927
w3717,2014-03-24 13:00:00,0.173976331949234,0.16501182317733765,0.14160922169685364,0.16366881132125854
w3718,2014-03-24 14:00:00,0.14832717180252075,0.16092340648174286,0.14258579909801483,0.1636471450328827
w3719,2014-03-24 15:00:00,0.15210320055484772,0.1636255979537964,0.1428530216217041,0.16362236440181732
w3720,2014-03-24 16:00:00,0.1543293595314026,0.16305452585220337,0.1423855423927307,0.16359908878803253
