horizon,aligned_mae,aligned_rmse,shuffled_mae,shuffled_rmse,raw24_mae,raw24_rmse,zero_mae,zero_rmse
1,0.21313224732875824,0.2685716450214386,0.2121640294790268,0.23928014934062958,0.044289104640483856,0.07133461534976959,0.21192146837711334,0.23844705522060394
2,0.19111475348472595,0.23735368251800537,0.21288135647773743,0.2400534301996231,0.0687708705663681,0.10150877386331558,0.21227343380451202,0.23878319561481476
3,0.19312159717082977,0.2476131021976471,0.2131635695695877,0.240373432636261,0.08013008534908295,0.1147361695766449,0.21258996427059174,0.23906837403774261
4,0.35982546210289,0.43818163871765137,0.21348443627357483,0.24061158299446106,0.08677618205547333,0.12252579629421234,0.21283100545406342,0.23924635350704193
5,0.336445689201355,0.41154977679252625,0.21338559687137604,0.2402481585741043,0.08938470482826233,0.1256609559059143,0.21291384100914001,0.239292711019516
6,0.28362059593200684,0.357986181974411,0.21318170428276062,0.24007031321525574,0.09009251743555069,0.1266758292913437,0.21296894550323486,0.23932291567325592
7,0.3147292733192444,0.40146464109420776,0.2126857340335846,0.23954541981220245,0.09132463485002518,0.12739701569080353,0.21301479637622833,0.2393520474433899
8,0.35779038071632385,0.431591272354126,0.21253114938735962,0.23942424356937408,0.09277139604091644,0.12811219692230225,0.2131028026342392,0.23940856754779816
9,0.34598270058631897,0.41793394088745117,0.21252886950969696,0.2395711988210678,0.0935826376080513,0.1285524219274521,0.21315248310565948,0.23944292962551117
10,0.2944610118865967,0.3625292181968689,0.21249383687973022,0.23951594531536102,0.09315016120672226,0.12817426025867462,0.21310770511627197,0.23942624032497406
11,0.31935396790504456,0.4120081067085266,0.21229667961597443,0.23960451781749725,0.09201253950595856,0.12764395773410797,0.21300500631332397,0.23936782777309418
12,0.27817901968955994,0.3893563449382782,0.21214406192302704,0.2396969199180603,0.09139789640903473,0.12735210359096527,0.2128998041152954,0.239308699965477
13,0.2784724533557892,0.3587985038757324,0.21234369277954102,0.2393939346075058,0.09120284020900726,0.12727271020412445,0.21280816197395325,0.23925888538360596
14,0.26318806409835815,0.31988537311553955,0.212492898106575,0.2394798994064331,0.09141692519187927,0.12740594148635864,0.21274897456169128,0.23922637104988098
15,0.2598646283149719,0.3100677728652954,0.21280993521213531,0.23951731622219086,0.09215126931667328,0.1277795433998108,0.21271690726280212,0.23920762538909912
16,0.3512532413005829,0.42374366521835327,0.21280190348625183,0.2398623824119568,0.0930716022849083,0.12832683324813843,0.21270641684532166,0.23920106887817383
17,0.3625813126564026,0.4470047056674957,0.2136104702949524,0.2409207820892334,0.0931682139635086,0.12833714485168457,0.21269634366035461,0.23919567465782166
18,0.3660770356655121,0.45827460289001465,0.2141083925962448,0.24150025844573975,0.09259876608848572,0.12791188061237335,0.21269625425338745,0.23919567465782166
19,0.45339876413345337,0.5713121294975281,0.21445338428020477,0.2417679876089096,0.0915200337767601,0.1273711770772934,0.21269626915454865,0.23919567465782166
20,0.4263226091861725,0.5286701321601868,0.2141363024711609,0.24140548706054688,0.09067653119564056,0.1269998401403427,0.21269626915454865,0.23919567465782166
21,0.2556516230106354,0.31706205010414124,0.21449850499629974,0.24126626551151276,0.09052665531635284,0.1266922652721405,0.2126961499452591,0.23919560015201569
22,0.24572047591209412,0.3047039806842804,0.21421782672405243,0.24109290540218353,0.09018959850072861,0.12620536983013153,0.21267402172088623,0.23917795717716217
23,0.28145748376846313,0.34781765937805176,0.21335488557815552,0.24010440707206726,0.08800717443227768,0.1249186098575592,0.212584987282753,0.2391267567873001
24,0.25477784872055054,0.3061515688896179,0.2127644568681717,0.23985545337200165,0.0858413577079773,0.12349318712949753,0.21270892024040222,0.2392851710319519
25,0.23076248168945312,0.28395888209342957,0.2129337042570114,0.2400662750005722,0.09112365543842316,0.12841305136680603,0.2128421813249588,0.23944678902626038
26,0.22914855182170868,0.2750064432621002,0.21380679309368134,0.24095620214939117,0.10086853057146072,0.13725091516971588,0.21313907206058502,0.23978160321712494
27,0.19391849637031555,0.2425561547279358,0.2137666940689087,0.24111394584178925,0.10664418339729309,0.142598494887352,0.21349216997623444,0.24007761478424072
28,0.320799320936203,0.41759175062179565,0.21422161161899567,0.24146699905395508,0.10905743390321732,0.14545711874961853,0.21377187967300415,0.24027131497859955
