site_id,group,mae,rmse,nmae,nrmse,normalization_capacity,shape
0,baseline,0.08376031368970871,0.1529964804649353,0.08376031368970871,0.1529964804649353,1.0,"[16, 24]"
0,ts_aligned,0.08836127072572708,0.162026509642601,0.08836127072572708,0.162026509642601,1.0,"[16, 24]"
0,ts_shuffled,0.0882660523056984,0.16195015609264374,0.0882660523056984,0.16195015609264374,1.0,"[16, 24]"
1,baseline,0.08196013420820236,0.14838454127311707,0.08196013420820236,0.14838454127311707,1.0,"[16, 24]"
1,ts_aligned,0.0861959457397461,0.15661852061748505,0.0861959457397461,0.15661852061748505,1.0,"[16, 24]"
1,ts_shuffled,0.08648630231618881,0.15693150460720062,0.08648630231618881,0.15693150460720062,1.0,"[16, 24]"
