horizon,aligned_mae,aligned_rmse,shuffled_mae,shuffled_rmse,raw24_mae,raw24_rmse,zero_mae,zero_rmse
1,0.1645614206790924,0.19350780546665192,0.25337353348731995,0.29350316524505615,0.04083280637860298,0.060517631471157074,0.25470736622810364,0.29295653104782104
2,0.14284388720989227,0.17387345433235168,0.2555481493473053,0.2944641709327698,0.07055839896202087,0.10258664190769196,0.25421956181526184,0.2926469147205353
3,0.18643677234649658,0.226007878780365,0.25573986768722534,0.29641491174697876,0.08772561699151993,0.1294879913330078,0.253582239151001,0.2922670543193817
4,0.2478170543909073,0.28171560168266296,0.2563031315803528,0.2985515296459198,0.09861927479505539,0.1490032970905304,0.2532949149608612,0.2920691967010498
5,0.18993596732616425,0.2123601883649826,0.2568405568599701,0.2998969256877899,0.10538572072982788,0.15944913029670715,0.2522083520889282,0.2915492057800293
6,0.1746271401643753,0.19731289148330688,0.2558056116104126,0.2985433042049408,0.11019929498434067,0.16549046337604523,0.2511952221393585,0.2910642921924591
7,0.13875770568847656,0.17428402602672577,0.25380831956863403,0.2953488528728485,0.11187106370925903,0.16741837561130524,0.24950933456420898,0.290547639131546
8,0.18512827157974243,0.24915024638175964,0.25003060698509216,0.2919657230377197,0.11138082295656204,0.1672634482383728,0.24941176176071167,0.29058292508125305
9,0.17895598709583282,0.24076490104198456,0.2459743320941925,0.2886749505996704,0.10910593718290329,0.16600556671619415,0.24735762178897858,0.2888980507850647
10,0.1983131617307663,0.2536808252334595,0.2397788166999817,0.2842334508895874,0.10590166598558426,0.16408845782279968,0.24424248933792114,0.2857833206653595
11,0.3424847424030304,0.39613914489746094,0.23561227321624756,0.2801344394683838,0.10448800027370453,0.16271017491817474,0.24074265360832214,0.28167271614074707
12,0.49249333143234253,0.5590556263923645,0.23477935791015625,0.27579447627067566,0.10422160476446152,0.16247674822807312,0.23782594501972198,0.27742668986320496
13,0.5121310353279114,0.5885481834411621,0.23344840109348297,0.27316421270370483,0.10433957725763321,0.16267935931682587,0.23547306656837463,0.2735813558101654
14,0.45428386330604553,0.529364287853241,0.23391477763652802,0.2714850902557373,0.1045362576842308,0.1631534993648529,0.2341245859861374,0.27104631066322327
15,0.3713598847389221,0.4420984387397766,0.23672062158584595,0.2735026776790619,0.10504820197820663,0.16371288895606995,0.23376494646072388,0.2699977159500122
16,0.27066922187805176,0.3390938341617584,0.23928317427635193,0.27430611848831177,0.1059015542268753,0.16480042040348053,0.23506250977516174,0.2705077826976776
17,0.16922053694725037,0.2143477201461792,0.24224860966205597,0.2753260135650635,0.10633747279644012,0.16587641835212708,0.23767127096652985,0.27159467339515686
18,0.15560588240623474,0.2028595507144928,0.24637387692928314,0.2773841619491577,0.10707482695579529,0.16678495705127716,0.2391308695077896,0.2723205089569092
19,0.19284118711948395,0.23962388932704926,0.2463921159505844,0.2775328755378723,0.10709328949451447,0.16679584980010986,0.24014917016029358,0.27284160256385803
20,0.23670342564582825,0.2749939262866974,0.24291390180587769,0.27584248781204224,0.10661473125219345,0.16630150377750397,0.2405703365802765,0.273044228553772
21,0.2101953625679016,0.2450743466615677,0.24092978239059448,0.2735109031200409,0.10548952966928482,0.1654931604862213,0.24036520719528198,0.27286380529403687
22,0.2846800684928894,0.3180356025695801,0.2367658019065857,0.27136144042015076,0.10666044801473618,0.1647622287273407,0.23992709815502167,0.2725463807582855
