window_id,t_origin,aligned_mae,shuffled_mae,raw24_mae,zero_mae
w358,2013-11-04 14:00:00,0.1192060187458992,0.28569188714027405,0.0455920547246933,0.28801101446151733
w359,2013-11-04 15:00:00,0.10607711225748062,0.2914821207523346,0.046618327498435974,0.2879174053668976
w360,2013-11-04 16:00:00,0.12578122317790985,0.27470287680625916,0.049951065331697464,0.2875703275203705
w361,2013-11-04 17:00:00,0.13493646681308746,0.30574846267700195,0.052719712257385254,0.28705036640167236
w362,2013-11-04 18:00:00,0.11965375393629074,0.2692171335220337,0.05540378391742706,0.28641748428344727
w363,2013-11-04 19:00:00,0.1202455386519432,0.26574039459228516,0.05235304310917854,0.2857189178466797
w364,2013-11-04 20:00:00,0.13434472680091858,0.2606310248374939,0.049061596393585205,0.28502634167671204
w365,2013-11-04 21:00:00,0.13399913907051086,0.29447391629219055,0.060640547424554825,0.2850874364376068
w366,2013-11-04 22:00:00,0.12535932660102844,0.2927449643611908,0.061154741793870926,0.28113508224487305
w367,2013-11-04 23:00:00,0.12536263465881348,0.2564249038696289,0.057434387505054474,0.27785712480545044
w368,2013-11-05 00:00:00,0.14109033346176147,0.2704886198043823,0.05667508393526077,0.27374133467674255
w369,2013-11-05 01:00:00,0.1325734406709671,0.2780899405479431,0.056443288922309875,0.2712397277355194
w370,2013-11-05 02:00:00,0.13755351305007935,0.275680810213089,0.05716457590460777,0.2674582302570343
w371,2013-11-05 03:00:00,0.15647166967391968,0.2609916925430298,0.05945614352822304,0.2626093626022339
w372,2013-11-05 04:00:00,0.18395066261291504,0.2525859475135803,0.05875174701213837,0.2578461468219757
w373,2013-11-05 05:00:00,0.1801047921180725,0.22420433163642883,0.0609465055167675,0.2571773827075958
w374,2013-11-05 06:00:00,0.19346746802330017,0.26711413264274597,0.0619066022336483,0.25977960228919983
w375,2013-11-05 07:00:00,0.14913208782672882,0.2613876760005951,0.06549173593521118,0.2610221803188324
w376,2013-11-05 08:00:00,0.15072792768478394,0.2705860733985901,0.05943423509597778,0.26250600814819336
w377,2013-11-05 09:00:00,0.14090265333652496,0.25853440165519714,0.05973716080188751,0.26370078325271606
w378,2013-11-05 10:00:00,0.13178390264511108,0.2783372700214386,0.060229428112506866,0.26486942172050476
w379,2013-11-05 11:00:00,0.12656058371067047,0.2726180851459503,0.06198522821068764,0.2659109830856323
w380,2013-11-05 12:00:00,0.12624874711036682,0.263983815908432,0.06194489449262619,0.2666672468185425
w381,2013-11-05 13:00:00,0.14018698036670685,0.26567670702934265,0.06053157523274422,0.2671579122543335
